AT1G01300 AT5G10770 0 2 2 59.8 0 1 0 0 1
AT1G02000 AT4G10960 0 11 11 59.4 0 7 0 0 1
AT1G03020 AT5G63030 0 3 3 58.9 0 2 0 0 1
AT1G03300 AT2G47230 1 7 6 75.8 0 1 1 1 0
AT1G03390 AT5G41040 0 3 3 57.7 0 1 0 0 1
AT1G05020 AT4G02650 0 2 2 57.2 0 1 0 0 1
AT1G06370 AT5G14850 pseudogene 8 NA 73.6 1 1 0 0 1
AT1G08120 AT5G26110 0 6 6 92.9 0 1 0 1 1
AT1G08250 AT3G07630 0 11 11 62.1 0 4 1 0 1
AT1G11050 AT1G70520 0 6 6 59.8 0 1 0 0 1
AT1G11090 AT2G39420 0 7 7 59.3 0 1 0 0 1
AT1G11980 AT3G52590 0 4 4 61.9 0 1 0 0 1
AT1G12310 AT2G27030 0 2 2 62.3 0 1 0 0 1
AT1G14430 AT5G19580  0 1 1 57.3 1 1 0 0 1
AT1G14680 AT4G09060 0 5 5 79.5 0 1 1 1 1
AT1G15000 AT5G22980 0 8 8 57.8 0 1 0 01 
AT1G15040 AT1G66860 1 4 3 69.5 0 1 1 1 0
AT1G15700 AT2G33040 0 7 7 58.6 0 1 0 0 1
AT1G15720 AT5G58340 0 5 5 78.8 0 1 1 1 1
AT1G16390 AT1G73220 0 1 1 59.7 1 1 0 0 1
AT1G16550 AT3G01610 pseudogene 8 NA 90.1 0 2 0 0 1
AT1G18480 AT1G07010 0 9 9 60.1 0 1 0 0 1
AT1G18970 AT1G09560 0 1 1 60.4 1 1 0 0 1
AT1G19810 AT3G01610 pseudogene 8 NA 68.1 0 2 1 0 1
AT1G20000 AT4G20280 1 4 3 80.3 0 1 0 1 0
AT1G24530 AT2G26060 0 9 9 57 0 1 0 0 1
AT1G25390 AT1G66880 3 8 5 65.1 0 1 0 0 1
AT1G26220 AT1G32070 0 7 7 59.4 0 1 0 0 1
AT1G27190 AT5G48380 0 2 2 58.9 0 1 0 0 1
AT1G28760 AT5G67610 0 9 9 57.7 0 1 0 0 1
AT1G29260 AT5G58230 0 5 5 58.8 0 1 0 0 1
AT1G29340 AT3G46510 0 3 3 58.6 0 1 0 0 1
AT1G29780 AT5G11860 0 4 4 56.9 0 1 0 0 1
AT1G30360 AT1G32090 5 10 5 58.1 0 1 0 0 1
AT1G30455 AT2G45100 1 14 13 92.8 0 1 0 1 0
AT1G31814 AT5G48385 0 4 4 57.4 0 1 0 0 1
AT1G31900 AT1G56000 pseudogene 9 NA 73.6 0 1 0 0 1
AT1G32090 AT1G58520 10 16 6 58.9 0 1 0 0 1
AT1G32480 AT4G35260 0 3 3 77.5 0 1 0 0 1
AT1G33280 AT4G17980 2 4 2 62.5 0 3 0 0 1
